Country,Population,Area,World_Share,Density
China,1440297825,9388211,18.47%,153.4155788573563
India,1382345085,2973190,17.70%,464.93667912242404
United States,331341050,9147420,4.25%,36.22235012713968
Indonesia,274021604,1811570,3.51%,151.26194626760213
Pakistan,221612785,770880,2.83%,287.48026281652136
Brazil,212821986,8358140,2.73%,25.462840536291566
Nigeria,206984347,910770,2.64%,227.2630268893354
Bangladesh,164972348,130170,2.11%,1267.3607436429286
Russia,145945524,16376870,1.87%,8.911686054783361
Mexico,129166028,1943950,1.65%,66.44513902106536
Japan,126407422,364555,1.62%,346.74444733990754
Ethiopia,115434444,1000000,1.47%,115.434444
Philippines,109830324,298170,1.41%,368.3480028171848
Egypt,102659126,995450,1.31%,103.1283600381737
Vietnam,97490013,310070,1.25%,314.41291643822365
DR Congo,90003954,2267050,1.15%,39.70091263977415
Turkey,84495243,769630,1.08%,109.78683653183998
Iran,84176929,1628550,1.08%,51.68826809124681
Germany,83830972,348560,1.07%,240.50657562543034
Thailand,69830779,510890,0.90%,136.68456810663744
United Kingdom,67948282,241930,0.87%,280.85926507667506
France,65298930,547557,0.84%,119.25503646195739
Italy,60446035,294140,0.78%,205.5009009315292
Tanzania,60012400,885800,0.77%,67.7493790923459
South Africa,59436725,1213090,0.76%,48.996137961734085
Myanmar,54473253,653290,0.70%,83.3829585635782
Kenya,53968739,569140,0.69%,94.82506764592192
South Korea,51276977,97230,0.66%,527.3781446055744
Colombia,50976248,1109500,0.65%,45.9452438035151
Spain,46757980,498800,0.60%,93.74093825180434
Uganda,45974931,199810,0.59%,230.09324358140233
Argentina,45267449,2736690,0.58%,16.540948737343285
Algeria,43984569,2381740,0.56%,18.467409960784973
Sudan,44019263,1765048,0.56%,24.939414112250773
Ukraine,43686577,579320,0.56%,75.41009631982324
Iraq,40372771,434320,0.52%,92.95627878062258
Afghanistan,39074280,652860,0.50%,59.85093281867476
Poland,37839255,306230,0.49%,123.56482055971003
Canada,37799407,9093510,0.48%,4.156745525105268
Morocco,36985624,446300,0.47%,82.87166479946225
Saudi Arabia,34905942,2149690,0.45%,16.2376631049128
Uzbekistan,33551824,425400,0.43%,78.87123648330983
Peru,33050211,1280000,0.42%,25.82047734375
Angola,33032075,1246700,0.42%,26.495608406192346
Malaysia,32436963,328550,0.42%,98.72763049764114
Mozambique,31398811,786380,0.40%,39.9282929372568
Ghana,31181428,227540,0.40%,137.03712753801528
Yemen,29935468,527970,0.38%,56.69918366573858
Nepal,29225196,143350,0.37%,203.8730101151029
